1,영종운남점,032-751-0905,인천 중구 운남동로3번길 21 (운남동) 
2,동인천점,032-773-0333,인천 중구 우현로67번길 32 (인현동) 1층
3,영종하늘도시점,032-747-1767,인천 중구 중산동 1885-8 썬앤문타워 1층 101호
4,인천 운서역점,032-752-2468,"인천 중구 신도시남로142번길 6 (운서동, 메가스타 영종) "
5,학익점,032-710-2920,인천 미추홀구 학익동 231-19 이당빌딩 101호
6,학익점,032-710-2920,"인천 미추홀구 매소홀로 409 (학익동, 이당빌딩) 101호"
7,SSG랜더스필드점,,"인천 미추홀구 매소홀로 618 (문학동, 문학경기장) "
8,도화점,032-872-7373,인천 미추홀구 숙골로95번길 19 (도화동) 
9,인하대점,032-875-8253,"인천 미추홀구 경인남길30번길 65 (용현동, 대동빌딩) "
10,송도6.8공구점,032-833-7572,"인천 연수구 센트럴로 415 (송도동, 힐스테이트 송도 더테라스) 1층 117호"
11,인천 옥련점,032-834-9283,"인천 연수구 청량로 181 (옥련동, 청원타운) 청원타운 103호"
12,송도2호점,032-811-2292,"인천 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운) "
13,연수점,032-821-7788,인천 연수구 샘말로43번길 3 (연수동) 
14,송도점,032-832-2292,인천 연수구 송도동 3-6 송도아크리아1 118호
15,간석점,032-466-0703,"인천 남동구 석산로 166 (간석동, 간석래미안자이아파트 상가2동) "
16,구월점,032-434-9282,인천 남동구 인하로507번길 22 (구월동) 
17,인천 논현점,032-421-8876,인천 남동구 논현남로 14-7 (논현동) 
18,인천서창점,032-468-6777,"인천 남동구 서창남순환로216번길 20 (서창동, 승연프라자) "
19,청천점,032-330-3305,인천 부평구 세월천로 59-2 (산곡동) 2층
20,부평산곡점,032-719-3934,"인천 부평구 원적로416번길 45 (산곡동, 써미트빌) 102호"
21,부평산곡점,032-719-3934,"인천 부평구 원적로416번길 45 (산곡동, 써미트빌) 1층, 102호"
22,부평삼산점,032-511-4100,인천 부평구 충선로311번길 31 (삼산동) 1층
23,부개점,032-508-2520,인천 부평구 부평동 915-2 
24,인천 계양효성점,032-549-8292,인천 계양구 효성동 196-6 대산아파트 1층 114호
25,경인교대점,032-543-8292,인천 계양구 계산로 105-1 (계산동) 
26,임학점,032-547-8881,인천 계양구 임학동 5-39 
27,인천아라점,032-565-0593,"인천 서구 이음5로 39 (원당동, 우미린 더 시그니처) "
28,인천가좌점,032-577-0422,인천 서구 가정로151번길 4 (가좌동) 
29,청라센트럴점,,"인천 서구 청라커낼로288번길 16 (청라동, 키움프라자) "
30,인천불로점,032-562-4979,"인천 서구 검단로768번1길 11-8 (불로동, 착한낙지) 102호"
31,청라점,032-563-6555,"인천 서구 청라한내로100번길 8-16 (청라동, 현대썬앤빌더테라스레이크) 102동 121,122호"
32,원당점,032-564-9980,"인천 서구 고산후로95번길 28 (당하동, 풍산프라자) 105호"
33,인천검암점,032-565-2292,"인천 서구 승학로 482 (검암동, 네오프라자) "
34,마전점,032-562-4445,"인천 서구 완정로 54 (마전동, 두영프라자) "
35,강화점,032-934-3730,인천 강화군 강화읍 남문로55번길 7 (남산리) 1층
36,백령점,032-836-9959,인천 옹진군 백령면 백령로 283-1 (진촌리) 2층
